,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER
0,22017,201935,0021701218,2018-04-10,HOU @ LAL,W,31,6,15,0.4,3,7,0.429,6,6,1.0,1,3,4,10,1,1,6,0,21,0,1,James Harden
1,22017,201935,0021701194,2018-04-07,HOU vs. OKC,L,36,7,16,0.438,3,8,0.375,9,12,0.75,0,4,4,9,1,1,5,5,26,2,1,James Harden
2,22017,201935,0021701177,2018-04-05,HOU vs. POR,W,34,7,13,0.538,3,6,0.5,7,10,0.7,1,5,6,7,1,0,8,0,24,7,1,James Harden
3,22017,201935,0021701161,2018-04-03,HOU vs. WAS,W,34,12,18,0.667,5,8,0.625,9,10,0.9,1,9,10,9,1,1,3,1,38,17,1,James Harden
4,22017,201935,0021701145,2018-04-01,HOU @ SAS,L,36,8,19,0.421,1,6,0.167,8,8,1.0,1,2,3,8,0,0,5,5,25,-19,1,James Harden
5,22017,201935,0021701132,2018-03-30,HOU vs. PHX,W,38,8,21,0.381,1,8,0.125,11,17,0.647,0,8,8,10,2,1,4,1,28,-2,1,James Harden
6,22017,201935,0021701101,2018-03-25,HOU vs. ATL,W,30,6,15,0.4,1,7,0.143,5,5,1.0,0,10,10,15,2,0,2,2,18,14,1,James Harden
7,22017,201935,0021701091,2018-03-24,HOU vs. NOP,W,30,11,24,0.458,3,11,0.273,2,2,1.0,0,6,6,8,1,1,9,0,27,14,1,James Harden
8,22017,201935,0021701074,2018-03-22,HOU vs. DET,W,40,4,20,0.2,0,8,0.0,13,18,0.722,0,8,8,5,2,2,3,2,21,-8,1,James Harden
9,22017,201935,0021701064,2018-03-20,HOU @ POR,W,33,13,25,0.52,5,7,0.714,11,15,0.733,0,6,6,7,0,0,4,3,42,-5,1,James Harden
10,22017,201935,0021701048,2018-03-18,HOU @ MIN,W,37,9,18,0.5,2,9,0.222,14,14,1.0,0,4,4,12,2,1,4,2,34,10,1,James Harden
