,Player,Season,Games Played,Average PPG,Volatility PPG,Average FTA,Average FTPER,Average FTS,nbaBB Sharpe,FTA PTS Correlation,FTA PTS Covariance,nbaBB Sharpe2,Average PPGM,Average FTAM,Volatility PPGM,Volatility MIN,nbaBB Sharpe3
0,Joel Embiid,2021,68,30.573529411764707,8.354843921643138,11.808823529411764,0.8121053668056716,0.32466125059058204,2.2459672566405655,0.4891078445918124,18.290386303775236,4.387633286938816,0.9068421801462992,0.35061148319404306,0.2410246891040793,3.6986390464396157,2.3077747720361748
1,LeBron James,2021,56,30.267857142857142,7.8728536109591065,6.0,0.7650817436531723,0.15143602915577015,3.082472803644665,0.36138347075370414,8.945454545454545,8.113910689708291,0.8168800911201403,0.15999738760849122,0.2181675736553013,4.208796364370067,3.0109089655528067
2,Giannis Antetokounmpo,2021,67,29.880597014925375,7.87689306895127,11.432835820895523,0.7277844481698681,0.2808461740449696,2.3420098549701382,0.4875643222315387,16.1130710085934,4.595730017714785,0.9081901537645399,0.3496148067712624,0.21547426507872855,4.138932723540909,2.5923065419862965
3,Kevin Durant,2021,55,29.87272727272727,8.423030215814787,7.4363636363636365,0.9046515101060556,0.23097919292720837,2.6636926452237937,0.4670817565623315,13.426936026936025,6.122996488166573,0.8073326349768053,0.2022762767880972,0.1958321531867186,5.476199442184198,3.0896681078301236
4,Trae Young,2021,76,28.355263157894736,8.990790532785875,7.276315789473684,0.8978227103227099,0.2371531467792385,2.3445043338018414,0.4749635971551227,16.620526315789473,5.170428458498314,0.8173367972882138,0.20663959335943283,0.2551711115133621,3.284944250023396,2.393285040406314
5,Luka Doncic,2021,65,28.415384615384614,7.970893797372669,7.523076923076923,0.7306701111388614,0.20245088859585547,2.6210746527816142,0.3919676358103448,11.091826923076926,6.273138428905318,0.803648656639135,0.21259617844073703,0.20996539607741607,3.670254654757519,2.814999467724061
6,DeMar DeRozan,2021,76,27.86842105263158,7.778753291503923,7.802631578947368,0.8590835221423454,0.24608118575557217,2.579563680930771,0.5231762047343943,15.38701754385966,5.115393260036597,0.7674930148957224,0.2138561243809858,0.18614678752791627,3.3924921179102387,2.9741952459518455
7,Kyrie Irving,2021,29,27.448275862068964,11.177521182532784,4.448275862068965,0.9113550893550895,0.13528708399814948,2.0577013118026843,0.7435317600748955,33.64901477832513,3.9649860125494842,0.7252851839364922,0.11674481280786736,0.2901679678337627,4.551724137931033,2.0972003756019606
8,Ja Morant,2021,57,27.43859649122807,9.427502774143262,7.280701754385965,0.7725043166709833,0.22227677284586814,2.1382008809511044,0.4242182594167486,17.249686716791977,4.853494781813402,0.812949949610003,0.21600693882988864,0.23947084274974212,5.224831211441941,2.492758633684464
9,Jayson Tatum,2021,76,26.92105263157895,8.667487886370989,6.171052631578948,0.8360583142347847,0.20588202960934437,2.3940039227084364,0.2606011112335928,6.840350877192982,7.933757306678997,0.7526292670032249,0.17043105854270127,0.2388390143715585,4.1766731183982,2.4376176982325255
